Irrigation;Date;Amount_mm
irrig1;21.05.1993;6
irrig1;26.06.1993;6
irrig2;21.05.1993;6
irrig2;26.06.1993;6
irrig3;21.05.1993;6
irrig3;26.06.1993;6
